,Symbol,GICS Sector,Market Cap
364,PAYC,Information Technology,32370188288
365,PYPL,Information Technology,284484370432
366,PENN,Consumer Discretionary,11620526080
367,PNR,Industrials,12333850624
368,PBCT,Financials,7714425344
369,PEP,Consumer Staples,222248992768
370,PKI,Health Care,19867009024
371,PFE,Health Care,243919044608
372,PM,Consumer Staples,149775695872
373,PSX,Energy,36115271680
374,PNW,Utilities,7665940480
375,PXD,Energy,46931488768
376,PNC,Financials,92019990528
377,POOL,Consumer Discretionary,20097116160
378,PPG,Materials,38482239488
379,PPL,Utilities,22474989568
380,PFG,Financials,19027238912
381,PG,Consumer Staples,349411377152
382,PGR,Financials,56575098880
383,PLD,Real Estate,108274950144
384,PRU,Financials,44990861312
385,PTC,Information Technology,14964451328
386,PEG,Utilities,32780535808
387,PSA,Real Estate,57188933632
388,PHM,Consumer Discretionary,12671280128
389,PVH,Consumer Discretionary,8018332160
390,QRVO,Information Technology,18744047616
391,PWR,Industrials,16756356096
392,QCOM,Information Technology,149008809984
393,DGX,Health Care,17646520320
394,RL,Consumer Discretionary,9159656448
395,RJF,Financials,14114202624
396,RTX,Industrials,134941499392
397,O,Real Estate,27821549568
398,REG,Real Estate,12112010240
399,REGN,Health Care,62860959744
400,RF,Financials,23210225664
401,RSG,Industrials,41643376640
402,RMD,Health Care,39148707840
403,RHI,Industrials,12704215040
404,ROK,Industrials,36788281344
405,ROL,Industrials,19401988096
406,ROP,Industrials,51676561408
407,ROST,Consumer Discretionary,40733220864
408,RCL,Consumer Discretionary,21658902528
409,SPGI,Financials,113341038592
410,CRM,Information Technology,272399958016
411,SBAC,Real Estate,38719066112
412,SLB,Energy,48249376768
413,STX,Information Technology,20154554368
414,SEE,Materials,9093843968
415,SRE,Utilities,40361947136
416,NOW,Information Technology,134296223744
417,SHW,Materials,84580081664
418,SPG,Real Estate,48219672576
419,SWKS,Information Technology,27136333824
420,SNA,Industrials,11220517888
421,SO,Utilities,67265351680
422,LUV,Industrials,28208685056
423,SWK,Industrials,30369136640
424,SBUX,Consumer Discretionary,134927138816
425,STT,Financials,34279491584
426,STE,Health Care,23523624960
427,SYK,Health Care,103498031104
428,SIVB,Financials,40639373312
429,SYF,Financials,28405293056
430,SNPS,Information Technology,50595397632
431,SYY,Consumer Staples,39384141824
432,TMUS,Communication Services,145328160768
433,TROW,Financials,47719161856
434,TTWO,Communication Services,21146607616
435,TPR,Consumer Discretionary,10956329984
436,TGT,Consumer Discretionary,128455278592
437,TEL,Information Technology,48609116160
438,TDY,Industrials,20597850112
439,TFX,Health Care,17569159168
440,TER,Information Technology,19256928256
441,TSLA,Consumer Discretionary,990303223808
442,TXN,Information Technology,182174334976
443,TXT,Industrials,16481269760
444,TMO,Health Care,239140847616
445,TJX,Consumer Discretionary,79254331392
446,TSCO,Consumer Discretionary,23911010304
447,TT,Industrials,43149471744
448,TDG,Industrials,35363135488
449,TRV,Financials,40440475648
450,TRMB,Information Technology,21866579968
451,TFC,Financials,86877315072
452,TWTR,Communication Services,48741613568
453,TYL,Information Technology,21695393792
454,TSN,Consumer Staples,30120132608
455,UDR,Real Estate,16435753984
456,ULTA,Consumer Discretionary,20338731008
457,USB,Financials,93667287040
458,UAA,Consumer Discretionary,9211206656
459,UA,Consumer Discretionary,9063280640
460,UNP,Industrials,161864073216
461,UAL,Industrials,15175808000
462,UNH,Health Care,429856260096
463,UPS,Industrials,191427870720
464,URI,Industrials,26050684928
465,UHS,Health Care,10861442048
466,VLO,Energy,33559195648
467,VTR,Real Estate,20403918848
468,VRSN,Information Technology,24308811776
469,VRSK,Industrials,34360049664
470,VZ,Communication Services,219560329216
471,VRTX,Health Care,47688294400
472,VFC,Consumer Discretionary,28488970240
473,VIAC,Communication Services,24139515904
474,VTRS,Health Care,16333709312
475,V,Information Technology,510518820864
476,VNO,Real Estate,8522106368
477,VMC,Materials,25161244672
478,WRB,Financials,14556771328
479,WAB,Industrials,17444515840
480,WMT,Consumer Staples,417730494464
481,WBA,Consumer Staples,41797771264
482,DIS,Communication Services,311603494912
483,WM,Industrials,67342979072
484,WAT,Health Care,22371983360
485,WEC,Utilities,28698277888
486,WFC,Financials,211114295296
487,WELL,Real Estate,33602091008
488,WST,Health Care,31339634688
489,WDC,Information Technology,17357496320
490,WU,Information Technology,7910841344
491,WRK,Materials,12972941312
492,WY,Real Estate,27732191232
493,WHR,Consumer Discretionary,12900708352
494,WMB,Energy,34827165696
495,WLTW,Financials,31534876672
496,WYNN,Consumer Discretionary,10762528768
497,XEL,Utilities,34846212096
498,XLNX,Information Technology,42936270848
499,XYL,Industrials,23134496768
500,YUM,Consumer Discretionary,37589147648
501,ZBRA,Information Technology,28219183104
502,ZBH,Health Care,31399473152
503,ZION,Financials,10774177792
504,ZTS,Health Care,100038156288
